sn,seglen
2170881,1460
2172341,1460
2173801,1460
2175261,1460
2176721,1460
2179073,1460
2180533,1460
2181993,1460
2183453,1460
2186373,892
2178181,1460
2184913,1460
2187265,1460
2188725,1460
2190185,1460
2191645,1460
2193105,1460
2194565,1460
2196025,1460
2197485,1460
2200405,1460
2201865,1460
2203325,934
2204259,1460
2205719,1460
2207179,1460
2198945,1460
2208639,1460
2210099,1460
2211559,1460
2213019,1460
2214479,1460
2215939,1460
2217399,1460
2218859,1460
2220319,1460
2221779,1460
2223239,1460
2224699,1460
2227619,1460
2229079,1460
2230539,1460
2231999,1460
2233459,1460
2234919,1460
2236379,1460
2237839,1460
2239299,1460
2242219,1460
2243679,1460
2245139,1460
2246599,1460
2240759,1460
2248059,1460
2250979,1460
2226159,1460
2226159,1460
2253899,1460
2249519,1460
2252439,1460
2255359,1460
2256819,1460
2258279,1460
2259739,1460
2262659,1460
2264119,1460
2265579,1460
2268499,1460
2269959,1460
2271419,1460
2272879,1460
2274339,1460
2275799,1460
2261199,1460
2277259,1460
2278719,1460
2280179,1460
2281639,1460
2283099,1460
2267039,1460
2286019,1460
2287479,1460
2284559,1460
2287479,1460
2288939,1460
2290399,1460
2291859,1460
2293319,1460
2294779,1460
2296239,1460
2297699,1460
2299159,1460
2300619,1460
2302079,1460
2303539,1460
2304999,1460
2306459,1460
2309379,1248
2310627,1460
2312087,1460
2315007,1460
2316467,1460
2317927,1460
2319387,1460
2320847,1460
2322307,1460
2323767,1460
2307919,1460
2313547,1460
2325227,1460
2326687,1460
2328147,1460
2329607,1460
2331067,1460
2332527,1460
2333987,734
2334721,1460
2336181,1460
2337641,1460
2339101,1460
2340561,1460
2342021,892
2342913,1460
2344373,1460
2345833,1460
2347293,1460
2348753,1460
2350213,892
2351105,1460
2352565,1460
2354025,1460
2355485,1460
2356945,1460
2358405,892
2359297,1460
2360757,1460
2362217,1460
2363677,1460
2365137,1460
2367489,1460
2368949,1460
2370409,1460
2371869,1460
2373329,1460
2374789,892
2366597,1460
2375681,1460
2377141,1460
2380061,1460
2381521,1460
2383873,1460
2385333,1460
2386793,1460
2388253,1460
2378601,1460
2389713,1460
2382981,892
2391173,892
2392065,1460
2393525,1460
2394985,1460
2396445,1460
2397905,1460
2399365,892
2400257,1460
2403177,1460
2404637,1460
2406097,1460
2407557,892
2401717,1460
2409909,1460
2411369,1460
2408449,1460
2411369,1460
2412829,1460
2414289,1460
2415749,1460
2417209,1460
2418669,1460
2420129,1460
2421589,1460
2423049,1460
2424509,479
2424988,1460
2426448,1460
2427908,1460
2429368,1460
2430828,1460
2432288,1099
2433387,1460
2434847,1460
2436307,1460
2437767,1460
2439227,1460
2440687,1460
2442147,1460
2443607,1460
2445067,1460
2446527,1460
2447987,1460
2449447,1460
2453827,1460
2455287,1460
2456747,1420
2458167,1460
2459627,1460
2461087,1460
2462547,1460
2464007,1460
2465467,1460
2450907,1460
2452367,857
2453224,603
2466927,1460
2468387,1460
2469847,1460
2472767,1218
2473985,1460
2475445,1460
2476905,1460
2478365,1460
2479825,1460
2471307,1460
2481285,892
2482177,1460
2483637,1460
2485097,1460
2486557,1460
2488017,1460
2489477,892
2490369,1460
2494749,1460
2496209,1460
2497669,892
2491829,1460
2493289,1460
2498561,1460
2500021,1460
2501481,1460
2502941,1460
2504401,1460
2505861,892
2506753,1460
2508213,1460
2509673,1460
2511133,1460
2512593,1460
2514053,892
2514945,1460
2516405,1460
2517865,1460
2519325,1460
2520785,1460
2522245,892
2523137,1460
2524597,1460
2526057,1460
2527517,1460
2528977,1460
2531329,1460
2535709,1460
2537169,1460
2538629,892
2530437,1460
2532789,1460
2539521,1460
2540981,1460
2542441,1460
2543901,1460
2534249,1460
2545361,1460
2546821,1460
2548281,1460
2549741,1460
2551201,1460
2552661,1460
2554121,1460
2555581,1460
2557041,1460
2558501,1460
2559961,1460
2561421,1460
2562881,1460
2564341,1460
2565801,1460
2567261,1460
2568721,1460
2571641,881
2572522,1460
2575442,1460
2578362,1460
2579822,742
2580564,1460
2582024,1460
2583484,1460
2584944,1460
2586404,1460
2573982,413
2574395,1047
2576902,1460
2587864,1460
2589324,1460
2590784,1460
2592244,1460
2593704,1460
2595164,1460
2596624,1460
2598084,1460
2599544,1460
2601004,1460
2602464,1460
2570181,1460
2603924,1460
2605384,1460
2606844,1460
2609764,1460
2611224,1460
2612684,1460
2614144,1460
2615604,1460
2617064,1460
2618524,1460
2619984,1460
2621444,1460
2608304,1460
2622904,1460
2624364,1460
2625824,1460
2627284,1460
2628744,1460
2630204,1460
2631664,1460
2633124,1460
2634584,1460
2636044,1460
2637825,1460
2639285,1460
2640745,1460
2642205,1460
2643665,1460
2645125,892
2637504,1460
2646017,1460
2647477,1460
2648937,1460
2651857,1460
2653317,892
2654209,1460
2655669,1460
2657129,1460
2650397,1460
2658589,1460
2660049,1460
2661509,892
2662401,1460
2663861,1460
2666781,1460
2668241,1460
2669701,892
2670593,1460
2665321,1460
2672053,1460
2673513,1460
2674973,1460
2676433,1460
2677893,892
2678785,1460
2680245,1460
2681705,1460
2683165,1460
2684625,1460
2686085,892
2686977,1460
2691357,1460
2692817,1460
2694277,892
2689897,1460
2688437,1460
2695169,1460
2696629,1460
2698089,1460
2699549,1460
2703361,1460
2704821,1460
2706281,1460
2710661,1460
2702469,892
2701009,1460
2712121,1460
2713581,1460
2707741,1460
2709201,1460
2716501,1460
2717961,1460
2715041,1460
2717961,1460
2720881,1460
2722341,1460
2723801,1460
2725261,1460
2726721,1460
2719421,1460
2729641,1460
2732561,1460
2734021,1460
2728181,1460
2735481,1460
2731101,1460
2736941,1460
2738401,1460
2739861,1460
2741321,1460
2744241,853
2745094,1460
2746554,1460
2748014,1460
2749474,1460
2742781,1460
2750934,1460
2752394,1460
2753854,1460
2755314,1460
2756774,1460
2758234,1460
2759694,1200
2760894,1460
2762354,1460
2763814,1460
2765274,1460
2766734,1460
2768194,1399
2769593,1460
2771053,1460
2773973,1460
2775433,1460
2776893,196
2777089,1460
2778549,1460
2780009,1460
2781469,1460
2782929,1460
2772513,1460
2772513,1460
2785849,1460
2787309,1460
2788769,1460
2790229,1460
2791689,1460
2793149,1460
2794609,1460
2796069,1460
2798989,1460
2784389,1460
2800449,1460
2801909,1460
2803369,1460
2804829,1460
2806289,1460
2797529,1460
2807749,1460
2809209,1460
2810669,1460
2812129,1460
2815049,1460
2816509,1460
2817969,669
2818638,1460
2820098,1460
2821558,1460
2823018,1460
2824478,1460
2813589,1460
2825938,1460
2827398,1460
2828858,1460
2830318,1460
2831778,1460
2833238,1460
2836158,1460
2837618,1460
2839078,1460
2840538,1460
2841998,627
2834698,1460
2842625,1460
2844085,1460
2845545,1460
2847005,1460
2848465,1460
2849925,892
2850817,1460
2853737,1460
2855197,1460
2856657,1460
2858117,892
2852277,1460
2859009,1460
2860469,1460
2863389,1460
2864849,1460
2866309,892
2861929,1460
2867201,1460
2870121,1460
2871581,1460
2873041,1460
2868661,1460
2874501,892
2875393,1460
2876853,1460
2878313,1460
2879773,1460
2881233,1460
2882693,892
2883585,1460
2885045,1460
2886505,1460
2887965,1460
2889425,1460
2890885,892
2891777,1460
2893237,1460
2896157,1460
2897617,1460
2899077,892
2899969,1460
2901429,1460
2894697,1460
2902889,1460
2904349,1460
2905809,1460
2907269,892
2908161,1460
2909621,1460
2911081,1460
2912541,1460
2915461,892
2916353,1460
2917813,1460
2919273,1460
2920733,1460
2914001,1460
2922193,1460
2923653,892
2924545,1460
2926005,1460
2927465,1460
2928925,1460
2930385,1460
2931845,892
2932737,1460
2934197,1460
2935657,1460
2937117,1460
2938577,1460
2940037,892
2940929,1460
